Attrition,Age,TravelProfile,HomeToWork,Gender,HourlnWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome,Department_Marketing,Department_Sales,EducationField_Engineer,EducationField_MBA,EducationField_Marketing Diploma,EducationField_Other,EducationField_Statistics,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
0.0,46.0,1,6.0,0,80.0,3.0,2.0,4.0,1.0,8.0,1.0,27.0,16.0,0.0,2.0,1,20021.0,True,False,False,False,False,False,False,False,True,False,False
1.0,33.0,2,30.0,1,54.0,4.0,2.0,3.0,0.0,1.0,0.0,27.0,14.0,3.0,8.0,0,19508.0,False,False,False,False,False,False,False,False,True,False,False
0.0,32.0,1,4.0,1,63.0,3.0,4.0,5.0,0.0,1.0,0.0,17.0,8.0,6.0,3.0,2,21725.0,False,False,False,False,False,False,False,False,True,False,False
0.0,33.0,1,9.0,0,60.0,3.0,4.0,2.0,0.0,0.0,0.0,18.0,15.0,4.0,10.0,2,17781.0,False,False,False,False,False,False,False,True,False,False,False
1.0,36.0,1,21.0,1,69.0,3.0,5.0,4.0,1.0,0.0,1.0,16.0,6.0,1.0,4.0,1,17148.0,True,False,False,False,False,False,False,True,False,False,False
1.0,36.0,1,23.0,1,48.0,3.0,3.0,3.0,1.0,4.0,1.0,16.0,7.0,0.0,1.0,2,17132.0,False,False,False,False,False,False,True,True,False,False,False
0.0,47.0,1,3.0,1,65.0,3.0,2.0,1.0,0.0,5.0,0.0,18.0,20.0,0.0,4.0,1,20070.0,False,False,False,False,False,False,False,False,True,False,False
0.0,36.0,1,5.0,1,61.0,5.0,3.0,1.0,0.0,2.0,1.0,17.0,2.0,1.0,1.0,1,17129.0,False,False,False,False,False,False,False,True,False,False,False
0.0,33.0,1,3.0,0,68.0,3.0,3.0,4.0,0.0,2.0,0.0,23.0,11.0,1.0,10.0,1,22220.0,False,False,False,False,False,False,True,False,True,False,False
0.0,41.0,1,7.0,0,35.0,3.0,1.0,3.0,1.0,1.0,0.0,17.0,10.0,6.0,7.0,0,24241.0,False,True,False,False,True,False,False,False,False,True,False
0.0,47.0,1,15.0,1,78.0,3.0,2.0,3.0,0.0,3.0,1.0,22.0,11.0,1.0,2.0,2,19591.0,False,True,False,False,False,False,False,False,True,False,False
0.0,34.0,1,17.0,1,74.0,3.0,3.0,4.0,1.0,2.0,0.0,19.0,9.0,2.0,3.0,2,18756.0,False,False,False,False,False,False,False,True,False,False,False
0.0,51.0,2,7.0,1,40.0,4.0,2.0,3.0,1.0,0.0,0.0,19.0,8.0,6.0,7.0,0,17838.0,False,False,False,False,False,False,False,True,False,False,False
0.0,52.0,0,20.0,0,41.0,3.0,5.0,2.0,1.0,0.0,0.0,23.0,5.0,1.0,2.0,2,19258.0,False,False,False,False,False,False,False,True,False,False,False
0.0,52.0,0,30.0,0,40.0,3.0,5.0,1.0,0.0,2.0,0.0,20.0,16.0,0.0,0.0,1,18482.0,False,True,False,False,False,False,True,True,False,False,False
0.0,39.0,1,13.0,0,75.0,4.0,1.0,3.0,0.0,1.0,1.0,20.0,10.0,3.0,8.0,1,24740.0,False,True,False,False,True,False,False,False,False,True,False
0.0,36.0,1,15.0,0,68.0,3.0,5.0,1.0,1.0,0.0,1.0,22.0,17.0,4.0,11.0,1,21586.0,False,False,False,False,False,False,True,False,True,False,False
0.0,53.0,1,1.0,1,34.0,3.0,3.0,5.0,1.0,7.0,0.0,20.0,18.0,6.0,10.0,0,23381.0,False,True,False,False,False,False,False,False,True,False,False
0.0,36.0,1,7.0,0,59.0,3.0,4.0,3.0,0.0,2.0,1.0,25.0,13.0,4.0,5.0,2,17306.0,False,True,False,False,True,False,False,False,True,False,False
0.0,43.0,1,9.0,1,72.0,1.5,5.0,3.0,1.0,1.0,0.0,17.0,6.0,1.0,4.0,1,17645.0,False,False,False,False,False,False,False,True,False,False,False
0.0,45.0,1,3.0,1,52.0,4.0,4.0,3.0,0.0,5.0,0.0,17.0,11.0,1.0,3.0,0,21985.0,True,False,False,False,False,False,True,False,True,False,False
0.0,36.0,1,1.0,1,77.0,5.0,4.0,5.0,1.0,2.0,1.0,26.0,17.0,6.0,7.0,1,25252.0,False,False,True,False,False,False,False,False,False,True,False
0.0,51.0,1,5.0,0,66.0,3.0,5.0,3.0,0.0,6.0,0.0,22.0,28.5,1.0,4.0,1,30799.5,False,False,False,False,False,False,False,False,False,False,False
1.0,20.0,1,24.0,0,39.0,4.0,1.0,4.0,0.0,2.0,1.0,19.0,2.0,1.0,1.0,0,18121.0,False,True,False,False,False,True,False,True,False,False,False
1.0,35.0,2,19.0,1,67.0,3.0,3.0,3.0,1.0,0.0,1.0,23.0,5.0,3.0,2.0,2,19614.0,False,True,False,False,True,False,False,False,True,False,False
0.0,34.0,2,3.0,1,70.0,3.0,4.0,1.0,0.0,2.0,1.0,18.0,16.0,6.0,13.0,0,29458.0,False,False,False,False,False,False,True,False,False,True,False
1.0,25.0,1,20.0,1,69.0,3.0,2.0,4.0,1.0,2.0,0.0,19.0,2.0,1.0,1.0,1,18210.0,False,False,False,False,False,False,True,True,False,False,False
1.0,43.0,2,22.0,0,59.0,1.5,2.0,3.0,0.0,7.0,1.0,18.0,8.0,3.0,3.0,1,18759.0,False,False,False,False,False,False,False,True,False,False,False
0.0,35.0,2,3.0,1,37.0,3.0,5.0,4.0,0.0,5.0,0.0,16.0,10.0,1.0,2.0,0,19425.0,False,False,False,False,False,False,False,False,True,False,False
0.0,50.0,1,11.0,0,80.0,4.0,5.0,2.0,0.0,6.0,0.0,20.0,20.0,1.0,3.0,0,25496.0,False,False,True,False,False,False,False,False,False,True,False
0.0,38.0,1,24.0,0,52.0,3.0,3.0,2.0,0.0,9.0,0.0,19.0,10.0,1.0,2.0,1,20745.0,False,False,False,False,False,False,True,False,True,False,False
1.0,34.0,2,8.0,0,66.0,5.0,4.0,3.0,1.0,1.0,1.0,29.0,9.0,0.0,6.0,0,21074.0,False,False,False,False,False,False,True,False,True,False,False
0.0,36.0,1,5.0,1,59.0,3.0,1.0,3.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,0,17318.0,False,False,False,False,False,False,True,True,False,False,False
0.0,57.0,1,25.0,0,53.0,2.0,4.0,2.0,1.0,3.0,1.0,21.0,12.0,1.0,4.0,1,24439.0,False,False,False,False,False,False,True,False,False,True,False
0.0,30.0,1,13.0,0,61.0,3.0,4.0,3.0,0.0,2.0,0.0,17.0,2.0,1.0,1.0,0,18642.0,False,True,False,False,False,False,True,True,False,False,False
1.0,36.0,1,11.0,1,59.0,4.0,4.0,4.0,0.0,2.0,0.0,18.0,2.0,1.0,1.0,0,17261.0,False,False,False,False,False,False,True,True,False,False,False
0.0,40.0,2,1.0,0,78.0,4.0,1.0,4.0,0.0,1.0,0.0,27.0,22.0,6.0,11.0,2,28503.0,False,False,False,False,False,False,True,False,False,False,False
0.0,31.0,2,9.0,0,67.0,1.5,3.0,2.0,1.0,0.0,0.0,17.0,3.0,2.0,2.0,2,17791.0,False,True,False,False,False,False,True,True,False,False,False
0.0,43.0,2,27.0,0,62.0,3.0,3.0,2.0,1.0,1.0,1.0,17.0,25.0,4.0,12.0,2,30799.5,False,True,False,False,False,False,True,False,False,False,False
0.0,39.0,1,18.0,0,64.0,4.0,5.0,2.0,1.0,1.0,1.0,20.0,13.0,3.0,10.0,1,27510.0,False,False,False,False,False,False,True,False,False,True,False
1.0,32.0,1,10.0,1,41.0,3.0,3.0,5.0,1.0,7.0,0.0,27.0,10.0,0.0,4.0,0,19200.0,False,False,False,False,False,False,False,True,False,False,False
0.0,34.0,1,9.0,0,62.0,1.5,1.0,3.0,1.0,1.0,0.0,26.0,10.0,4.0,8.0,1,21799.0,False,True,True,False,False,False,False,False,True,False,False
1.0,32.0,1,3.0,0,52.0,4.0,4.0,4.0,0.0,7.0,1.0,17.0,7.0,2.0,2.0,0,24907.0,False,True,False,False,True,False,False,False,True,False,False
0.0,36.0,1,22.0,0,79.0,1.5,3.0,4.0,0.0,1.0,0.0,23.0,14.0,2.0,13.0,1,17028.0,False,False,False,False,False,False,False,True,False,False,False
0.0,34.0,1,9.0,0,52.0,1.5,1.0,3.0,0.0,2.0,0.0,17.0,6.0,1.0,2.0,1,19404.0,False,False,False,False,False,False,False,False,True,False,False
0.0,36.0,1,3.0,0,59.0,3.0,1.0,5.0,0.0,3.0,0.0,18.0,3.0,0.0,0.0,1,17322.0,False,True,True,False,False,False,False,True,False,False,False
1.0,29.0,1,24.0,1,45.0,4.0,5.0,5.0,0.0,1.0,0.0,18.0,11.0,3.0,10.0,2,22336.0,False,True,False,False,False,False,True,False,False,True,False
0.0,42.0,0,13.0,0,42.0,5.0,5.0,4.0,0.0,2.0,0.0,19.0,20.0,6.0,10.0,0,22151.0,False,True,False,False,False,False,False,False,True,False,False
0.0,44.0,1,29.0,1,53.0,1.5,1.0,1.0,1.0,3.0,1.0,23.0,23.0,6.0,11.0,1,28320.0,False,True,False,False,False,False,False,False,False,False,False
1.0,32.0,1,1.0,0,62.0,4.0,3.0,3.0,1.0,0.0,1.0,19.0,4.0,1.0,3.0,0,18730.0,False,False,False,False,False,False,True,True,False,False,False
0.0,26.0,1,1.0,0,57.0,3.0,5.0,3.0,1.0,1.0,0.0,22.0,8.0,6.0,7.0,1,20296.0,False,True,False,False,False,False,True,False,True,False,False
0.0,26.0,1,22.0,0,69.0,3.0,3.0,1.0,1.0,4.0,0.0,17.0,8.0,2.0,3.0,1,19669.0,False,False,False,False,False,False,False,True,False,False,False
0.0,34.0,1,3.0,1,44.0,4.0,4.0,1.0,0.0,1.0,0.0,20.0,7.0,2.0,5.0,0,22949.0,False,False,False,False,False,False,True,False,True,False,False
0.0,29.0,1,4.0,0,63.0,4.0,5.0,3.0,0.0,1.0,0.0,23.0,10.0,0.0,7.0,2,26935.0,False,False,False,False,False,False,False,False,False,True,False
0.0,35.0,1,13.0,0,55.0,3.0,5.0,4.0,1.0,2.0,0.0,20.0,2.0,2.0,1.0,1,18008.0,False,False,False,False,False,False,True,True,False,False,False
1.0,21.0,2,12.0,0,56.0,3.0,4.0,2.0,0.0,2.0,1.0,20.0,3.0,1.0,3.0,0,18323.0,False,True,False,False,True,False,False,True,False,False,False
0.0,44.0,2,30.0,1,55.0,3.0,5.0,5.0,1.0,9.0,0.0,17.0,19.0,1.0,2.0,2,26820.0,False,False,False,False,False,False,True,False,False,True,False
0.0,37.0,0,26.0,1,72.0,3.0,1.0,3.0,1.0,3.0,1.0,20.0,15.0,6.0,7.0,1,19449.0,False,False,False,False,False,False,False,False,True,False,False
1.0,39.0,1,30.0,0,72.0,3.0,2.0,5.0,1.0,8.0,1.0,20.0,18.0,1.0,1.0,1,22673.0,False,False,False,False,False,False,False,False,True,False,False
0.0,41.0,1,24.0,0,80.0,3.0,3.0,3.0,0.0,3.0,1.0,21.0,21.0,0.0,2.0,0,22082.0,False,True,False,False,False,False,True,False,False,True,False
0.0,30.0,1,6.0,1,54.0,3.0,3.0,5.0,0.0,5.0,0.0,19.0,8.0,2.0,8.0,1,18204.0,False,False,True,False,False,False,False,True,False,False,False
0.0,40.0,1,11.0,0,67.0,4.0,5.0,4.0,1.0,2.0,0.0,17.0,11.0,0.0,0.0,1,24705.0,False,True,False,False,True,False,False,False,False,True,False
0.0,41.0,1,17.0,1,56.0,3.0,4.0,5.0,0.0,2.0,0.0,21.0,6.0,2.0,3.0,1,20639.0,False,True,False,False,False,False,True,False,True,False,False
0.0,43.0,2,10.0,0,72.0,3.0,5.0,3.0,0.0,3.0,1.0,18.0,10.0,4.0,7.0,1,20679.0,False,False,False,False,False,False,False,False,True,False,False
1.0,36.0,1,12.0,0,61.0,3.0,4.0,1.0,1.0,2.0,0.0,19.0,2.0,1.0,1.0,0,17081.0,False,True,False,False,False,False,False,True,False,False,False
0.0,32.0,1,4.0,1,39.0,3.0,1.0,2.0,1.0,3.0,0.0,20.0,10.0,6.0,7.0,0,26159.0,False,False,False,False,False,False,True,False,False,True,False
0.0,38.0,1,5.0,1,57.0,3.0,3.0,3.0,1.0,7.0,0.0,24.0,7.0,0.0,0.0,1,18306.0,False,False,False,False,False,False,False,True,False,False,False
0.0,52.0,1,1.0,0,65.0,4.0,1.0,3.0,0.0,0.0,0.0,19.0,28.5,6.0,9.0,1,30799.5,False,False,False,False,False,False,True,False,False,False,True
0.0,38.0,2,3.0,1,75.0,1.5,4.0,5.0,0.0,6.0,1.0,17.0,17.0,4.0,12.0,0,20980.0,False,False,False,False,False,False,True,False,True,False,False
0.0,27.0,0,1.0,0,73.0,3.0,4.0,4.0,1.0,0.0,1.0,18.0,9.0,1.0,4.0,2,21349.0,False,True,False,False,True,False,False,False,True,False,False
0.0,52.0,1,7.0,0,78.0,3.0,4.0,5.0,0.0,3.0,1.0,17.0,18.0,6.0,9.0,1,20577.0,False,False,True,False,False,False,False,False,True,False,False
1.0,31.0,1,7.0,0,76.0,5.0,1.0,3.0,0.0,4.0,1.0,23.0,9.0,6.0,7.0,2,21172.0,False,True,False,False,False,False,True,False,True,False,False
1.0,26.0,1,6.0,0,63.0,3.0,3.0,5.0,1.0,6.0,0.0,19.0,7.0,1.0,3.0,1,20031.0,False,False,False,False,False,False,False,True,False,False,False
1.0,32.0,1,9.0,0,57.0,3.0,4.0,1.0,0.0,1.0,1.0,29.0,1.0,0.0,1.0,0,17795.0,False,False,False,False,False,False,True,True,False,False,False
1.0,53.0,1,11.0,0,57.0,4.0,1.0,4.0,1.0,3.0,0.0,21.0,12.0,6.0,8.0,2,20941.0,False,False,False,False,False,False,False,False,True,False,False
1.0,24.0,1,9.0,0,65.0,1.5,2.0,5.0,0.0,2.0,1.0,27.0,2.0,1.0,1.0,1,17601.0,False,False,False,False,False,False,True,True,False,False,False
1.0,31.0,1,19.0,0,59.0,1.5,4.0,5.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,1,17956.0,True,False,False,True,False,False,False,True,False,False,False
0.0,36.0,1,16.0,0,59.0,3.0,4.0,1.0,0.0,1.0,0.0,24.0,6.0,1.0,5.0,0,17340.0,False,False,False,False,False,False,True,True,False,False,False
0.0,33.0,1,3.0,0,35.0,3.0,2.0,1.0,1.0,2.0,1.0,28.0,10.0,6.0,9.0,1,22162.0,False,False,False,False,False,False,False,False,True,False,False
0.0,43.0,2,10.0,0,72.0,3.0,4.0,3.0,0.0,3.0,1.0,18.0,10.0,4.0,7.0,1,20679.0,False,False,False,False,False,False,False,False,True,False,False
1.0,44.0,1,16.0,1,73.0,3.0,4.0,2.0,1.0,1.0,0.0,20.0,10.0,0.0,5.0,2,22978.0,False,False,False,False,False,False,False,False,False,True,False
0.0,32.0,0,8.0,0,76.0,3.0,3.0,5.0,0.0,1.0,0.0,25.0,11.0,2.0,8.0,0,25936.0,False,False,False,False,False,False,False,False,True,False,False
0.0,40.0,2,6.0,0,48.0,4.0,3.0,5.0,1.0,5.0,1.0,26.0,20.0,1.0,12.0,2,25475.0,False,True,False,False,False,False,True,False,False,True,False
1.0,34.0,1,17.0,0,60.0,3.0,5.0,1.0,1.0,6.0,1.0,19.0,9.0,1.0,5.0,1,18436.0,False,False,False,False,False,False,False,True,False,False,False
1.0,48.0,2,12.0,0,54.0,5.0,4.0,3.0,1.0,8.0,0.0,17.0,26.0,6.0,11.0,1,28936.0,False,True,False,False,False,False,True,False,False,False,False
0.0,28.0,1,11.0,0,74.0,3.0,2.0,4.0,1.0,1.0,0.0,27.0,1.0,0.0,0.0,1,16052.0,False,False,False,False,False,False,False,True,False,False,False
0.0,29.0,1,8.0,0,52.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,6.0,1.0,0.0,1,21623.0,False,False,False,False,False,False,True,False,True,False,False
0.0,32.0,1,27.0,1,68.0,4.0,5.0,5.0,1.0,2.0,0.0,20.0,11.0,2.0,9.0,0,22812.0,False,False,False,False,False,False,False,False,True,False,False
1.0,29.0,2,14.0,1,51.0,3.0,2.0,4.0,0.0,5.0,0.0,16.0,7.0,1.0,0.0,0,20765.0,False,True,True,False,False,False,False,False,True,False,False
0.0,36.0,0,1.0,1,33.0,4.0,5.0,3.0,1.0,0.0,0.0,20.0,4.0,1.0,2.0,1,19374.0,False,False,False,False,False,False,False,False,True,False,False
0.0,33.0,0,5.0,1,78.0,3.0,5.0,5.0,0.0,2.0,0.0,18.0,2.0,1.0,3.0,1,18827.0,False,True,False,False,False,False,True,True,False,False,False
0.0,34.0,0,4.0,0,40.0,4.0,4.0,2.0,1.0,3.0,0.0,22.0,6.0,0.0,0.0,2,17979.0,False,False,False,False,False,False,True,True,False,False,False
1.0,24.0,2,8.0,1,55.0,3.0,4.0,3.0,0.0,1.0,1.0,21.0,6.0,1.0,2.0,1,17886.0,False,False,False,False,False,False,True,True,False,False,False
0.0,31.0,1,8.0,0,48.0,3.0,1.0,2.0,0.0,3.0,0.0,27.0,10.0,1.0,7.0,1,20915.0,False,False,False,False,False,False,True,False,True,False,False
0.0,49.0,1,5.0,0,55.0,4.0,3.0,3.0,1.0,2.0,0.0,18.0,23.0,0.0,0.0,1,30799.5,False,False,False,False,False,False,False,False,False,False,True
0.0,30.0,1,12.0,0,32.0,4.0,3.0,2.0,0.0,1.0,0.0,23.0,5.0,3.0,3.0,0,19983.0,False,False,False,False,False,True,False,True,False,False,False
0.0,29.0,1,13.0,1,61.0,3.0,1.0,3.0,0.0,4.0,0.0,19.0,11.0,2.0,8.0,0,19660.0,False,False,False,False,False,True,False,False,True,False,False
1.0,29.0,1,9.0,1,52.0,5.0,3.0,4.0,0.0,1.0,0.0,18.0,2.0,2.0,2.0,0,17760.0,False,True,False,False,True,False,False,True,False,False,False
0.0,25.0,0,16.0,1,80.0,3.0,3.0,4.0,0.0,2.0,0.0,19.0,2.0,1.0,1.0,1,18033.0,False,True,False,False,False,False,True,True,False,False,False
1.0,41.0,1,13.0,1,49.0,3.0,3.0,3.0,0.0,1.0,0.0,17.0,23.0,6.0,8.0,2,30799.5,False,False,True,False,False,False,False,False,False,False,True
0.0,32.0,1,1.0,0,66.0,3.0,5.0,4.0,1.0,1.0,0.0,22.0,9.0,0.0,9.0,1,21220.0,False,False,False,False,False,False,True,False,True,False,False
0.0,35.0,1,23.0,1,61.0,1.5,4.0,3.0,1.0,1.0,0.0,23.0,3.0,1.0,1.0,1,18585.0,False,False,True,False,False,False,False,True,False,False,False
0.0,28.0,1,10.0,1,57.0,4.0,5.0,5.0,1.0,9.0,0.0,20.0,10.0,1.0,8.0,0,22811.0,False,False,False,False,False,False,False,False,True,False,False
0.0,30.0,1,6.0,1,30.0,4.0,3.0,3.0,0.0,1.0,0.0,18.0,9.0,1.0,2.0,1,21118.0,False,True,False,False,True,False,False,False,True,False,False
1.0,31.0,1,4.0,0,66.0,4.0,2.0,5.0,1.0,2.0,0.0,17.0,11.0,6.0,8.0,1,25714.0,False,True,False,False,False,False,True,False,True,False,False
0.0,32.0,1,6.0,0,80.0,1.5,1.0,4.0,0.0,0.0,1.0,17.0,7.0,0.0,5.0,1,18298.0,False,False,False,False,False,False,True,True,False,False,False
0.0,31.0,1,1.0,0,57.0,3.0,1.0,4.0,1.0,1.0,0.0,22.0,1.0,1.0,0.0,0,17501.0,False,False,False,False,False,False,False,True,False,False,False
0.0,43.0,1,21.0,0,37.0,3.0,5.0,5.0,0.0,7.0,1.0,23.0,10.0,2.0,3.0,1,21410.0,False,False,False,False,False,False,True,False,True,False,False
1.0,35.0,2,13.0,0,36.0,3.0,2.0,1.0,1.0,3.0,1.0,29.0,13.0,6.0,7.0,0,19581.0,False,True,False,False,False,True,False,False,True,False,False
1.0,36.0,1,26.0,0,52.0,4.0,4.0,3.0,1.0,4.0,1.0,19.0,9.0,1.0,2.0,2,21916.0,False,False,False,False,False,False,True,False,True,False,False
0.0,36.0,0,11.0,1,80.0,4.0,5.0,2.0,0.0,5.0,1.0,17.0,17.0,5.0,13.0,2,26377.0,False,True,False,False,True,False,False,False,False,True,False
0.0,40.0,0,10.0,0,63.0,4.0,3.0,2.0,1.0,9.0,0.0,19.0,5.0,0.0,2.0,2,19876.0,False,False,False,False,False,False,True,False,True,False,False
0.0,38.0,2,7.0,0,72.0,4.0,1.0,3.0,0.0,2.0,0.0,16.0,10.0,6.0,7.0,1,20321.0,False,False,False,False,False,False,True,False,True,False,False
0.0,24.0,1,7.0,1,53.0,3.0,1.0,4.0,1.0,2.0,0.0,19.0,4.0,2.0,3.0,0,19295.0,False,False,False,False,False,False,False,True,False,False,False
1.0,38.0,1,30.0,0,70.0,3.0,3.0,5.0,0.0,7.0,1.0,24.0,17.0,0.0,0.0,2,21673.0,False,False,False,False,False,False,False,False,True,False,False
0.0,38.0,1,13.0,1,60.0,4.0,1.0,2.0,1.0,3.0,1.0,20.0,9.0,1.0,1.0,1,22694.0,False,True,False,False,False,False,True,False,True,False,False
0.0,29.0,1,6.0,1,80.0,3.0,4.0,4.0,0.0,2.0,0.0,25.0,2.0,1.0,3.0,1,18856.0,False,True,False,False,False,False,False,True,False,False,False
0.0,34.0,1,1.0,0,64.0,4.0,1.0,3.0,0.0,1.0,1.0,19.0,10.0,6.0,6.0,2,22083.0,False,True,True,False,False,False,False,False,False,True,False
1.0,33.0,1,7.0,0,34.0,5.0,4.0,2.0,0.0,2.0,0.0,17.0,15.0,6.0,9.0,2,26400.0,False,True,False,False,False,False,False,False,False,True,False
1.0,38.0,1,5.0,0,64.0,4.0,5.0,3.0,0.0,7.0,1.0,21.0,8.0,1.0,1.0,0,18090.0,False,False,False,False,False,True,False,True,False,False,False
1.0,36.0,1,17.0,0,41.0,4.0,2.0,4.0,1.0,2.0,1.0,30.0,6.0,1.0,3.0,1,19743.0,False,False,False,False,False,True,False,True,False,False,False
0.0,38.0,1,13.0,1,44.0,1.5,1.0,1.0,0.0,2.0,1.0,30.5,17.0,6.0,9.0,1,29744.0,False,False,False,False,False,False,True,False,False,True,False
0.0,36.0,0,1.0,1,45.0,3.0,5.0,1.0,0.0,4.0,0.0,20.0,7.0,0.0,0.0,0,21653.0,False,True,False,False,False,False,False,False,True,False,False
0.0,46.0,2,19.0,1,56.0,3.0,5.0,3.0,0.0,5.0,0.0,16.0,28.0,1.0,2.0,2,25527.0,False,False,False,False,False,False,False,False,False,True,False
0.0,35.0,1,27.0,1,31.0,3.0,5.0,1.0,0.0,1.0,1.0,21.0,9.0,6.0,7.0,0,23837.0,True,False,False,False,False,False,True,False,False,True,False
0.0,38.0,1,8.0,1,44.0,1.5,3.0,5.0,0.0,1.0,1.0,29.0,8.0,6.0,7.0,1,20605.0,False,True,False,False,False,False,False,False,True,False,False
0.0,28.0,2,8.0,0,55.0,3.0,4.0,5.0,0.0,0.0,0.0,19.0,5.0,1.0,3.0,0,19898.0,False,True,False,False,False,False,True,False,True,False,False
0.0,39.0,2,5.0,1,44.0,4.0,4.0,4.0,1.0,2.0,0.0,28.0,5.0,4.0,4.0,0,18440.0,False,False,False,False,False,False,False,True,False,False,False
0.0,41.0,1,1.0,0,49.0,2.0,3.0,5.0,1.0,1.0,0.0,20.0,10.0,0.0,7.0,2,23392.0,False,True,False,False,True,False,False,False,False,True,False
0.0,51.0,1,3.0,0,54.0,5.0,5.0,4.0,0.0,5.0,0.0,23.0,13.0,1.0,2.0,1,20482.0,False,False,False,False,False,False,False,False,True,False,False
0.0,34.0,1,8.0,1,65.0,4.0,2.0,2.0,0.0,2.0,0.0,19.0,3.0,1.0,3.0,2,18911.0,False,False,False,False,False,False,True,True,False,False,False
1.0,31.0,2,1.0,1,80.0,1.5,1.0,4.0,0.0,1.0,0.0,16.0,10.0,4.0,7.0,0,22446.0,False,False,False,False,False,False,True,False,False,True,False
1.0,33.0,1,17.0,1,69.0,3.0,3.0,5.0,0.0,5.0,0.0,20.0,6.0,0.0,2.0,0,20324.0,False,True,False,False,True,False,False,False,True,False,False
0.0,31.0,1,9.0,1,50.0,4.0,1.0,1.0,1.0,1.0,0.0,18.0,11.0,6.0,8.0,1,20627.0,False,False,True,False,False,False,False,False,True,False,False
0.0,27.0,1,9.0,1,68.0,1.5,5.0,1.0,1.0,8.0,0.0,19.0,5.0,0.0,0.0,1,17534.0,False,True,False,False,False,False,False,True,False,False,False
1.0,52.0,2,11.0,0,55.0,5.0,1.0,2.0,0.0,3.0,0.0,21.0,19.0,1.0,4.0,0,26650.0,False,False,False,False,False,False,True,False,False,True,False
0.0,49.0,1,2.0,0,36.0,3.0,2.0,3.0,1.0,4.0,0.0,19.0,23.0,0.0,0.0,0,30379.0,False,False,False,False,False,False,True,False,False,False,False
